"Film","Year","Script.Type","Rotten.Tomatoes..critics","Metacritic..critics","Average.critics","Rotten.Tomatoes.Audience","Metacritic.Audience","Rotten.Tomatoes.vs.Metacritic..deviance","Average.audience","Audience.vs.Critics.deviance","Primary.Genre","Genre","Opening.Weekend","Opening.weekend...million.","Domestic.Gross","Domestic.gross...million.","Foreign.Gross...million.","Foreign.Gross","Worldwide.Gross","Worldwide.Gross...million.","of.Gross.earned.abroad","Budget...million.","Budget.recovered","Budget.recovered.opening.weekend","Oscar.Winners","Oscar.Detail","Link","None","Distributor","IMDb.Rating","IMDB.vs.RT.disparity","Release.Date..US."
"Jack and Jill",2011,"original screenplay","4","23","14",59,"27","32","43","-30",NA,"comedy","25000000","25","74160000","74.16","75.52","75520000","149680000","149.68","50.45%","79","189.47%","31.65%","","","http://www.amazon.com/gp/product/B0075ZCNM6/?tag=titb-20",1,NA,NA,NA,"Nov 11, 2011"
"Immortals",2011,"adaptation","36","46","41",59,"60","-1","60","-19",NA,"action, fantasy","32210000","32.21","83500000","83.5","143.4","143400000","226900000","226.9","63.20%","75","302.53%","42.95%","","","http://www.amazon.com/gp/product/B0091UA5E6/?tag=titb-20",1,NA,NA,NA,"November 11, 2011"
"The Three Musketeers",2011,"adaptation","24","35","30",48,"51","-3","50","-20",NA,"action, adventure, romance","8670000","8.67","20370000","20.37","111.9","111900000","132270000","132.27","84.60%","75","176.36%","11.56%","","","http://www.amazon.com/gp/product/B007JUWM64/?tag=titb-20",1,NA,NA,NA,"Oct 21, 2011"
"Tower Heist",2011,"original screenplay","68","59","64",61,"61","0","61","3",NA,"action, comedy, crime","24030000","24.03","78040000","78.04","74.88","74880000","152920000","152.92","48.97%","75","203.89%","32.04%","","","http://www.amazon.com/gp/product/B007BLUD30/?tag=titb-20",1,NA,NA,NA,"Nov 4, 2011"
"Killer Elite",2011,"adaptation","25","44","35",48,"57","-9","53","-18",NA,"action, crime, thriller","9350000","9.35","25120000","25.12","31.26","31260000","56380000","56.38","55.45%","70","80.54%","13.36%","","","http://www.amazon.com/gp/product/B006TLFIAQ/?tag=titb-20",1,NA,NA,NA,"Sep 23, 2011"
"Battle: Los Angeles",2011,"based on a true story","35","37","36",50,"58","-8","54","-18",NA,"action, adventure, sci-fi","35570000","35.57","83550000","83.55","128.27","128270000","211820000","211.82","60.56%","70","302.60%","50.81%","","","http://www.amazon.com/gp/product/B0051BVQFG/?tag=titb-20",1,NA,NA,NA,"Mar 11, 2011"
"The Dilemma",2011,"original screenplay","23","46","35",31,"44","-13","38","-3",NA,"comedy","17800000","17.8","48480000","48.48","21.25","21250000","69730000","69.73","30.47%","70","99.61%","25.43%","","","http://www.amazon.com/gp/product/B004YJ1MF0/?tag=titb-20",1,NA,NA,NA,"Jan 14, 2011"
"War Horse",2011,"adaptation","77","72","75",73,"66","7","70","5",NA,"war","14520000","14.52","79884000","79.88","97.7","97700000","177584000","177.58","55.02%","66","269.07%","22.00%","","","http://www.amazon.com/gp/product/B007Q476KU/?tag=titb-20",1,NA,NA,NA,"Dec 25, 2011"
"Hop",2011,"original screenplay","26","41","34",50,"51","-1","51","-17",NA,"animation, comedy, family","37540000","37.54","108090000","108.09","75.87","75870000","183960000","183.96","41.24%","63","292.00%","59.59%","","","http://www.amazon.com/gp/product/B007PKOKTK/?tag=titb-20",1,NA,NA,NA,"Apr 1, 2011"
"I Am Number Four",2011,"adaptation","32","36","34",57,"61","-4","59","-25",NA,"romance, sci-fi","19450000","19.45","55100000","55.1","94.78","94780000","149880000","149.88","63.24%","60","249.80%","32.42%","","","http://www.amazon.com/gp/product/B004Z2TUGE/?tag=titb-20",1,NA,NA,NA,"Feb 18, 2011"
"Priest",2011,"adaptation","17","41","29",37,"50","-13","44","-15",NA,"action, fantasy, horror","14950000","14.95","29140000","29.14","49.17","49170000","78310000","78.31","62.79%","60","130.52%","24.92%","","","http://www.amazon.com/gp/product/B005BG2FII/?tag=titb-20",1,NA,NA,NA,"May 13, 2011"
"Contagion",2011,"original screenplay","84","70","77",63,"64","-1","64","14",NA,"sci-fi, thriller","22400000","22.4","75660000","75.66","59.8","59800000","135460000","135.46","44.15%","60","225.77%","37.33%","","","http://www.amazon.com/gp/product/B006SV2LWA/?tag=titb-20",1,NA,NA,NA,"Sep 9, 2011"
"New Year's Eve",2011,"original screenplay","8","22","15",48,"47","1","48","-33",NA,"comedy, romance","13010000","13.01","54540000","54.54","87.5","87500000","142040000","142.04","61.60%","56","253.64%","23.23%","","","http://www.amazon.com/gp/product/B007Z9QA8K/?tag=titb-20",1,NA,NA,NA,"Dec 9, 2011"
"Mr. Popper's Penguins",2011,"adaptation","47","53","50",54,"61","-7","58","-8",NA,"comedy","18450000","18.45","68220000","68.22","119.14","119140000","187360000","187.36","63.59%","55","340.65%","33.55%","","","http://www.amazon.com/gp/product/B006LG7V5O/?tag=titb-20",1,NA,NA,NA,"Jun 17, 2011"
"The Change Up",2011,"original screenplay","24","39","32",53,"58","-5","56","-24",NA,"comedy","13530000","13.53","37080000","37.08","38.37","38370000","75450000","75.45","50.85%","52","145.10%","26.02%","","","http://www.amazon.com/gp/product/B0064J6OMO/?tag=titb-20",1,NA,NA,NA,"Aug 5, 2011"
"The Adjustment Bureau",2011,"adaptation","72","60","66",67,"66","1","67","-1",NA,"fantasy, romance, thriller","21160000","21.16","62500000","62.5","65.37","65370000","127870000","127.87","51.12%","50.2","254.72%","42.15%","","","http://www.amazon.com/gp/product/B0055OK2T0/?tag=titb-20",1,NA,NA,NA,"Mar 4, 2011"
